,land_location,sgg_cd,emd_cd,land_gbn,bun,ji,bldg_nm,dong_nm,main_annex_gbn,purpose_cd,purpose_nm,etc_purpose_nm,household_cnt,family_cnt,ho_cnt,lon,lat
46,전라남도 광양시 중동 1376번지,46230,10600,0,"""1376""","""0000""",시영아파트,101동,주건축물,2000,공동주택,아파트,105,0,0,127.6859273,34.9417125
47,전라남도 광양시 중동 1376번지,46230,10600,0,"""1376""","""0000""",시영아파트,상가동,주건축물,3000,제1종근린생활시설,근린생활시설,0,12,13,127.6859273,34.9417125
48,전라남도 광양시 중동 1376번지,46230,10600,0,"""1376""","""0000""",시영아파트,102동,주건축물,2000,공동주택,아파트,120,0,0,127.6859273,34.9417125
50,전라남도 광양시 중동 1379-5번지,46230,10600,0,"""1379""","""0005""",거송빌라,거송빌라,주건축물,2000,공동주택,"다세대주택, 근린생활시설",7,0,1,127.6868361,34.9416697
51,전라남도 광양시 중동 1380-7번지,46230,10600,0,"""1380""","""0007""",서울원룸,서울원룸,주건축물,2000,공동주택,다세대주택,17,0,2,127.6872748,34.9414365
52,전라남도 광양시 중동 1398-3번지,46230,10600,0,"""1398""","""0003""",신정식다세대주택,가,주건축물,2000,공동주택,"공동주택,외1종",6,0,1,127.6877089,34.9424563
53,전라남도 광양시 중동 1402-6번지,46230,10600,0,"""1402""","""0006""",무지개빌라,무지개빌라,주건축물,2000,공동주택,다세대주택,4,0,0,127.6864165,34.9426152
54,전라남도 광양시 중동 1403-5번지,46230,10600,0,"""1403""","""0005""",,,주건축물,2000,공동주택,"공동주택, 제1종근린생활시설",11,1,1,127.6865782,34.9432557
55,전라남도 광양시 중동 1416번지,46230,10600,0,"""1416""","""0000""",남양파크,106동,주건축물,2000,공동주택,아파트,60,0,0,127.6897317,34.9431105
56,전라남도 광양시 중동 1416번지,46230,10600,0,"""1416""","""0000""",남양파크,상가동,주건축물,2000,공동주택,상가,0,0,19,127.6897317,34.9431105
57,전라남도 광양시 중동 1416번지,46230,10600,0,"""1416""","""0000""",남양파크,103동,주건축물,2000,공동주택,아파트,60,0,0,127.6897317,34.9431105
58,전라남도 광양시 중동 1416번지,46230,10600,0,"""1416""","""0000""",남양파크,101동,주건축물,2000,공동주택,아파트,150,0,0,127.6897317,34.9431105
59,전라남도 광양시 중동 1416번지,46230,10600,0,"""1416""","""0000""",남양파크,102동,주건축물,2000,공동주택,아파트,135,0,0,127.6897317,34.9431105
60,전라남도 광양시 중동 1416번지,46230,10600,0,"""1416""","""0000""",남양파크,105동,주건축물,2000,공동주택,아파트,60,0,0,127.6897317,34.9431105
61,전라남도 광양시 중동 1418번지,46230,10600,0,"""1418""","""0000""",무등파크맨션,102동,주건축물,2000,공동주택,아파트,80,0,0,127.6898656,34.9453555
62,전라남도 광양시 중동 1418번지,46230,10600,0,"""1418""","""0000""",무등파크맨션,104동,주건축물,2000,공동주택,아파트,120,0,0,127.6898656,34.9453555
63,전라남도 광양시 중동 1418번지,46230,10600,0,"""1418""","""0000""",무등파크맨션,101동,주건축물,2000,공동주택,아파트,200,0,0,127.6898656,34.9453555
64,전라남도 광양시 중동 1418번지,46230,10600,0,"""1418""","""0000""",무등파크맨션,상가동,주건축물,2000,공동주택,"구매생활시설, 제2종근린생활시설",0,0,21,127.6898656,34.9453555
67,전라남도 광양시 중동 1418번지,46230,10600,0,"""1418""","""0000""",무등파크맨션,105동,주건축물,2000,공동주택,아파트,120,0,0,127.6898656,34.9453555
69,전라남도 광양시 중동 1418번지,46230,10600,0,"""1418""","""0000""",무등파크맨션,103동,주건축물,2000,공동주택,아파트,120,0,0,127.6898656,34.9453555
70,전라남도 광양시 중동 1423-3번지,46230,10600,0,"""1423""","""0003""",,스튜디오24(도시형생활주택),주건축물,2000,공동주택,"공동주택(다세대주택-원룸형도시형생활주택),제2종근린생활시설",24,0,0,127.688443,34.9451896
71,전라남도 광양시 중동 1434-2번지,46230,10600,0,"""1434""","""0002""",중마2주공아파트,상가동,주건축물,3000,제1종근린생활시설,상가,0,0,11,127.6860879,34.9455261
72,전라남도 광양시 중동 1434번지,46230,10600,0,"""1434""","""0000""",중마2주공아파트,107동,주건축물,2000,공동주택,아파트,89,0,0,127.6858901,34.9457059
73,전라남도 광양시 중동 1434번지,46230,10600,0,"""1434""","""0000""",중마2주공아파트,복지관동,주건축물,2000,공동주택,복지관,0,0,1,127.6858901,34.9457059
74,전라남도 광양시 중동 1434번지,46230,10600,0,"""1434""","""0000""",중마2주공아파트,104동,주건축물,2000,공동주택,아파트,89,0,0,127.6858901,34.9457059
75,전라남도 광양시 중동 1434번지,46230,10600,0,"""1434""","""0000""",중마2주공아파트,108동,주건축물,2000,공동주택,아파트,89,0,0,127.6858901,34.9457059
76,전라남도 광양시 중동 1434번지,46230,10600,0,"""1434""","""0000""",중마2주공아파트,102동,주건축물,2000,공동주택,아파트,89,0,0,127.6858901,34.9457059
77,전라남도 광양시 중동 1434번지,46230,10600,0,"""1434""","""0000""",중마2주공아파트,106동,주건축물,2000,공동주택,아파트,89,0,0,127.6858901,34.9457059
78,전라남도 광양시 중동 1434번지,46230,10600,0,"""1434""","""0000""",중마2주공아파트,101동,주건축물,2000,공동주택,아파트,89,0,0,127.6858901,34.9457059
79,전라남도 광양시 중동 1434번지,46230,10600,0,"""1434""","""0000""",중마2주공아파트,105동,주건축물,2000,공동주택,아파트,89,0,0,127.6858901,34.9457059
80,전라남도 광양시 중동 1434번지,46230,10600,0,"""1434""","""0000""",중마2주공아파트,103동,주건축물,2000,공동주택,아파트,89,0,0,127.6858901,34.9457059
81,전라남도 광양시 중동 1542-2번지,46230,10600,0,"""1542""","""0002""",하나빌라,하나빌라,주건축물,2000,공동주택,공동주택(다세대주택),7,0,0,127.6894462,34.9491406
82,전라남도 광양시 중동 1566-2번지,46230,10600,0,"""1566""","""0002""",,주1동,주건축물,3000,제1종근린생활시설,"제1,2종근린생활시설",0,0,0,127.689564,34.949844
83,전라남도 광양시 중동 1584-1번지,46230,10600,0,"""1584""","""0001""",,,주건축물,3000,제1종근린생활시설,"제1,2종근린생활시설",0,0,0,127.6887618,34.9506262
85,전라남도 광양시 중동 1590번지,46230,10600,0,"""1590""","""0000""",광양써니밸리아파트,상가,주건축물,3000,제1종근린생활시설,제1종근린생활시설,0,0,13,127.6875892,34.9509297
86,전라남도 광양시 중동 1590번지,46230,10600,0,"""1590""","""0000""",광양써니밸리아파트,103동,주건축물,2000,공동주택,아파트,81,0,0,127.6875892,34.9509297
87,전라남도 광양시 중동 1590번지,46230,10600,0,"""1590""","""0000""",광양써니밸리아파트,104동,주건축물,2000,공동주택,아파트,60,0,0,127.6875892,34.9509297
88,전라남도 광양시 중동 1590번지,46230,10600,0,"""1590""","""0000""",광양써니밸리아파트,101동,주건축물,2000,공동주택,아파트,132,0,0,127.6875892,34.9509297
89,전라남도 광양시 중동 1590번지,46230,10600,0,"""1590""","""0000""",광양써니밸리아파트,105동,주건축물,2000,공동주택,아파트,44,0,0,127.6875892,34.9509297
90,전라남도 광양시 중동 1590번지,46230,10600,0,"""1590""","""0000""",광양써니밸리아파트,102동,주건축물,2000,공동주택,아파트,132,0,0,127.6875892,34.9509297
91,전라남도 광양시 중동 1592번지,46230,10600,0,"""1592""","""0000""",대광로제비앙2차,201동,주건축물,2000,공동주택,공동주택(아파트),161,161,0,127.6887353,34.9518432
92,전라남도 광양시 중동 1592번지,46230,10600,0,"""1592""","""0000""",대광로제비앙2차,상가동,주건축물,3000,제1종근린생활시설,근린생활시설,0,0,4,127.6887353,34.9518432
93,전라남도 광양시 중동 1592번지,46230,10600,0,"""1592""","""0000""",대광로제비앙2차,202동,주건축물,2000,공동주택,공동주택(아파트),231,231,0,127.6887353,34.9518432
96,전라남도 광양시 중동 1594번지,46230,10600,0,"""1594""","""0000""",대광로제비앙3차,상가동,주건축물,4000,제2종근린생활시설,근린생활시설,0,0,8,127.6899843,34.951639
97,전라남도 광양시 중동 1594번지,46230,10600,0,"""1594""","""0000""",대광로제비앙3차,302동,주건축물,2000,공동주택,공동주택(아파트),208,0,0,127.6899843,34.951639
98,전라남도 광양시 중동 1594번지,46230,10600,0,"""1594""","""0000""",대광로제비앙3차,301동,주건축물,2000,공동주택,공동주택(아파트),109,0,0,127.6899843,34.951639
99,전라남도 광양시 중동 1597번지,46230,10600,0,"""1597""","""0000""",대광로제비앙1차아파트,106동,주건축물,2000,공동주택,아파트(59세대),59,0,0,127.6912106,34.9516061
100,전라남도 광양시 중동 1597번지,46230,10600,0,"""1597""","""0000""",대광로제비앙1차아파트,105동,주건축물,2000,공동주택,아파트(59세대),59,0,0,127.6912106,34.9516061
101,전라남도 광양시 중동 1597번지,46230,10600,0,"""1597""","""0000""",대광로제비앙1차아파트,103동,주건축물,2000,공동주택,아파트(58세대),58,0,0,127.6912106,34.9516061
102,전라남도 광양시 중동 1597번지,46230,10600,0,"""1597""","""0000""",대광로제비앙1차아파트,104동,주건축물,2000,공동주택,아파트(58세대),58,0,0,127.6912106,34.9516061
103,전라남도 광양시 중동 1597번지,46230,10600,0,"""1597""","""0000""",대광로제비앙1차아파트,상가동,주건축물,3000,제1종근린생활시설,근린생활시설(4세대),0,0,4,127.6912106,34.9516061
104,전라남도 광양시 중동 1597번지,46230,10600,0,"""1597""","""0000""",대광로제비앙1차아파트,101동,주건축물,2000,공동주택,아파트(59세대),59,0,0,127.6912106,34.9516061
105,전라남도 광양시 중동 1597번지,46230,10600,0,"""1597""","""0000""",대광로제비앙1차아파트,102동,주건축물,2000,공동주택,아파트(59세대),59,0,0,127.6912106,34.9516061
108,전라남도 광양시 중동 1650-6번지,46230,10600,0,"""1650""","""0006""",,,주건축물,4000,제2종근린생활시설,"제1,2종근린생활시설, 주택",0,0,0,127.6960417,34.9360499
109,전라남도 광양시 중동 1655번지,46230,10600,0,"""1655""","""0000""",광양시중마지구호반리젠시빌,106동,주건축물,2000,공동주택,공동주택,90,0,0,127.693565,34.9368009
110,전라남도 광양시 중동 1655번지,46230,10600,0,"""1655""","""0000""",광양시중마지구호반리젠시빌,107동,주건축물,2000,공동주택,공동주택,136,0,0,127.693565,34.9368009
111,전라남도 광양시 중동 1655번지,46230,10600,0,"""1655""","""0000""",광양시중마지구호반리젠시빌,108동,주건축물,2000,공동주택,공동주택,102,0,0,127.693565,34.9368009
112,전라남도 광양시 중동 1655번지,46230,10600,0,"""1655""","""0000""",광양시중마지구호반리젠시빌,102동,주건축물,2000,공동주택,공동주택,66,0,0,127.693565,34.9368009
113,전라남도 광양시 중동 1655번지,46230,10600,0,"""1655""","""0000""",광양시중마지구호반리젠시빌,104동,주건축물,2000,공동주택,공동주택,90,0,0,127.693565,34.9368009
114,전라남도 광양시 중동 1655번지,46230,10600,0,"""1655""","""0000""",광양시중마지구호반리젠시빌,101동,주건축물,2000,공동주택,공동주택,120,0,0,127.693565,34.9368009
115,전라남도 광양시 중동 1655번지,46230,10600,0,"""1655""","""0000""",광양시중마지구호반리젠시빌,103동,주건축물,2000,공동주택,공동주택,120,0,0,127.693565,34.9368009
116,전라남도 광양시 중동 1655번지,46230,10600,0,"""1655""","""0000""",광양시중마지구호반리젠시빌,상가동,주건축물,3000,제1종근린생활시설,근린생활시설,0,0,16,127.693565,34.9368009
117,전라남도 광양시 중동 1655번지,46230,10600,0,"""1655""","""0000""",광양시중마지구호반리젠시빌,105동,주건축물,2000,공동주택,공동주택,120,0,0,127.693565,34.9368009
118,전라남도 광양시 중동 1663번지,46230,10600,0,"""1663""","""0000""",금광1차아파트,105동,주건축물,2000,공동주택,공동주택(아파트),92,0,0,127.6901136,34.9347278
119,전라남도 광양시 중동 1663번지,46230,10600,0,"""1663""","""0000""",금광1차아파트,101동,주건축물,2000,공동주택,공동주택(아파트),126,0,0,127.6901136,34.9347278
120,전라남도 광양시 중동 1663번지,46230,10600,0,"""1663""","""0000""",금광1차아파트,106동,주건축물,2000,공동주택,공동주택 (아파트),50,0,0,127.6901136,34.9347278
121,전라남도 광양시 중동 1663번지,46230,10600,0,"""1663""","""0000""",금광1차아파트,유치원동,주건축물,10000,교육연구시설,교육연구,0,0,1,127.6901136,34.9347278
122,전라남도 광양시 중동 1663번지,46230,10600,0,"""1663""","""0000""",금광1차아파트,109동,주건축물,2000,공동주택,공동주택(아파트),68,0,0,127.6901136,34.9347278
123,전라남도 광양시 중동 1663번지,46230,10600,0,"""1663""","""0000""",금광1차아파트,111동,주건축물,2000,공동주택,공동주택(아파트),102,0,0,127.6901136,34.9347278
124,전라남도 광양시 중동 1663번지,46230,10600,0,"""1663""","""0000""",금광1차아파트,112동,주건축물,2000,공동주택,공동주택(아파트),138,0,0,127.6901136,34.9347278
125,전라남도 광양시 중동 1663번지,46230,10600,0,"""1663""","""0000""",금광1차아파트,104동,주건축물,2000,공동주택,공동주택(아파트),68,0,0,127.6901136,34.9347278
126,전라남도 광양시 중동 1663번지,46230,10600,0,"""1663""","""0000""",금광1차아파트,103동,주건축물,2000,공동주택,공동주택(아파트),80,0,0,127.6901136,34.9347278
127,전라남도 광양시 중동 1663번지,46230,10600,0,"""1663""","""0000""",금광1차아파트,107동,주건축물,2000,공동주택,공동주택(아파트),100,0,0,127.6901136,34.9347278
128,전라남도 광양시 중동 1663번지,46230,10600,0,"""1663""","""0000""",금광1차아파트,상가동,주건축물,3000,제1종근린생활시설,교습소,0,0,21,127.6901136,34.9347278
129,전라남도 광양시 중동 1663번지,46230,10600,0,"""1663""","""0000""",금광1차아파트,108동,주건축물,2000,공동주택,공동주택(아파트),60,0,0,127.6901136,34.9347278
130,전라남도 광양시 중동 1663번지,46230,10600,0,"""1663""","""0000""",금광1차아파트,102동,주건축물,2000,공동주택,공동주택(아파트),100,0,0,127.6901136,34.9347278
131,전라남도 광양시 중동 1663번지,46230,10600,0,"""1663""","""0000""",금광1차아파트,110동,주건축물,2000,공동주택,공동주택(아파트),126,0,0,127.6901136,34.9347278
132,전라남도 광양시 중동 1665-2번지,46230,10600,0,"""1665""","""0002""",성호2차아파트,유치원동,주건축물,3000,제1종근린생활시설,"소매점,휴게음식점,사무소,주차장",0,0,3,127.6911047,34.9331528
135,전라남도 광양시 중동 1665번지,46230,10600,0,"""1665""","""0000""",성호2차아파트,207동,주건축물,2000,공동주택,아파트,167,0,0,127.690977,34.9321698
136,전라남도 광양시 중동 1665번지,46230,10600,0,"""1665""","""0000""",성호2차아파트,201동,주건축물,2000,공동주택,아파트,506,0,0,127.690977,34.9321698
138,전라남도 광양시 중동 1665번지,46230,10600,0,"""1665""","""0000""",성호2차아파트,208동,주건축물,2000,공동주택,아파트,143,0,0,127.690977,34.9321698
139,전라남도 광양시 중동 1665번지,46230,10600,0,"""1665""","""0000""",성호2차아파트,202동,주건축물,2000,공동주택,아파트,511,0,0,127.690977,34.9321698
145,전라남도 광양시 중동 1665번지,46230,10600,0,"""1665""","""0000""",성호2차아파트,213동,주건축물,2000,공동주택,공동주택,275,0,0,127.690977,34.9321698
146,전라남도 광양시 중동 1665번지,46230,10600,0,"""1665""","""0000""",성호2차아파트,214동,주건축물,2000,공동주택,공동주택,196,0,0,127.690977,34.9321698
148,전라남도 광양시 중동 1665번지,46230,10600,0,"""1665""","""0000""",성호2차아파트,206동,주건축물,2000,공동주택,아파트,263,0,0,127.690977,34.9321698
150,전라남도 광양시 중동 1665번지,46230,10600,0,"""1665""","""0000""",성호2차아파트,203동,주건축물,2000,공동주택,아파트,185,0,0,127.690977,34.9321698
151,전라남도 광양시 중동 1665번지,46230,10600,0,"""1665""","""0000""",성호2차아파트,209동,주건축물,2000,공동주택,아파트,304,0,0,127.690977,34.9321698
152,전라남도 광양시 중동 1665번지,46230,10600,0,"""1665""","""0000""",성호2차아파트,205동,주건축물,2000,공동주택,아파트,281,0,0,127.690977,34.9321698
154,전라남도 광양시 중동 1665번지,46230,10600,0,"""1665""","""0000""",성호2차아파트,204동,주건축물,2000,공동주택,아파트,279,0,0,127.690977,34.9321698
156,전라남도 광양시 중동 1665번지,46230,10600,0,"""1665""","""0000""",성호2차아파트,215동,주건축물,2000,공동주택,공동주택,188,0,0,127.690977,34.9321698
157,전라남도 광양시 중동 1665번지,46230,10600,0,"""1665""","""0000""",성호2차아파트,210동,주건축물,2000,공동주택,아파트,304,0,0,127.690977,34.9321698
158,전라남도 광양시 중동 1665번지,46230,10600,0,"""1665""","""0000""",성호2차아파트,212동,주건축물,2000,공동주택,공동주택,259,0,0,127.690977,34.9321698
160,전라남도 광양시 중동 1665번지,46230,10600,0,"""1665""","""0000""",성호2차아파트,211동,주건축물,2000,공동주택,아파트,212,0,0,127.690977,34.9321698
161,전라남도 광양시 중동 1666-2번지,46230,10600,0,"""1666""","""0002""",성호2차아파트,상가1동,주건축물,4000,제2종근린생활시설,근린생활시설,0,0,24,127.6897231,34.9337713
162,전라남도 광양시 중동 1669-2번지,46230,10600,0,"""1669""","""0002""",성호2차아파트,상가2동,주건축물,2000,공동주택,근린생활시설,0,0,22,127.6928721,34.931796
163,전라남도 광양시 중동 1674-11번지,46230,10600,0,"""1674""","""0011""",,B동,주건축물,4000,제2종근린생활시설,"제1,2종근린생활시설, 업무시설",0,0,0,127.6943378,34.935045
164,전라남도 광양시 중동 1674-1번지,46230,10600,0,"""1674""","""0001""",,중동대방타운,주건축물,4000,제2종근린생활시설,"제1, 2종근린생활시설",0,0,0,127.6947583,34.9338111
165,전라남도 광양시 중동 1674-2번지,46230,10600,0,"""1674""","""0002""",,중동대방프라자,주건축물,3000,제1종근린생활시설,"제1, 2종근린생활시설",0,0,0,127.694818,34.9354248
166,전라남도 광양시 중동 1674번지,46230,10600,0,"""1674""","""0000""",,A동,주건축물,7000,판매시설,"판매시설, 제1,2종근린생활시설, 업무시설",0,0,0,127.6941611,34.9354592
167,전라남도 광양시 중동 1681번지,46230,10600,0,"""1681""","""0000""",태영아파트,103동,주건축물,2000,공동주택,공동주택(아파트),130,0,0,127.6970869,34.9346192
168,전라남도 광양시 중동 1681번지,46230,10600,0,"""1681""","""0000""",태영아파트,101동,주건축물,2000,공동주택,공동주택(아파트),120,0,0,127.6970869,34.9346192
169,전라남도 광양시 중동 1681번지,46230,10600,0,"""1681""","""0000""",태영아파트,102동,주건축물,2000,공동주택,공동주택(아파트),130,0,0,127.6970869,34.9346192
170,전라남도 광양시 중동 1681번지,46230,10600,0,"""1681""","""0000""",태영아파트,104동,주건축물,2000,공동주택,공동주택(아파트),128,0,0,127.6970869,34.9346192
171,전라남도 광양시 중동 1681번지,46230,10600,0,"""1681""","""0000""",태영아파트,상가동,주건축물,2000,공동주택,"구매시설, 생활편익시설",0,11,11,127.6970869,34.9346192
172,전라남도 광양시 중동 1681번지,46230,10600,0,"""1681""","""0000""",태영아파트,유치원동,주건축물,11000,노유자시설,노유자시설,0,0,1,127.6970869,34.9346192
173,전라남도 광양시 중동 1682번지,46230,10600,0,"""1682""","""0000""",태영2차아파트,202동,주건축물,2000,공동주택,공동주택(아파트),130,0,0,127.6957296,34.9346158
174,전라남도 광양시 중동 1682번지,46230,10600,0,"""1682""","""0000""",태영2차아파트,204동,주건축물,2000,공동주택,공동주택(아파트),150,0,0,127.6957296,34.9346158
175,전라남도 광양시 중동 1682번지,46230,10600,0,"""1682""","""0000""",태영2차아파트,201동,주건축물,2000,공동주택,공동주택(아파트),100,0,0,127.6957296,34.9346158
176,전라남도 광양시 중동 1682번지,46230,10600,0,"""1682""","""0000""",태영2차아파트,203동,주건축물,2000,공동주택,공동주택(아파트),104,0,0,127.6957296,34.9346158
177,전라남도 광양시 중동 1682번지,46230,10600,0,"""1682""","""0000""",태영2차아파트,상가동,주건축물,2000,공동주택,생활편익시설,0,0,14,127.6957296,34.9346158
